Time(min),Cp(ug/mL),Ce_original(ug/mL),Ce_discrete(ug/mL),Ce_exponential(ug/mL),Ce_hybrid(ug/mL),Ce_V2_Original(ug/mL)
0,0.000,0.000,0.000,0.000,0.000,0.000
1,0.196,0.007,0.007,0.000,0.007,0.142
2,0.253,0.022,0.022,0.013,0.022,0.215
3,0.276,0.038,0.038,0.030,0.038,0.255
4,0.290,0.055,0.055,0.046,0.055,0.280
5,0.301,0.071,0.071,0.063,0.071,0.297
6,0.312,0.087,0.087,0.079,0.087,0.310
7,0.322,0.103,0.103,0.095,0.103,0.321
8,0.332,0.118,0.118,0.111,0.118,0.331
9,0.341,0.133,0.133,0.126,0.133,0.340
10,0.349,0.148,0.148,0.140,0.147,0.349
11,0.358,0.162,0.162,0.154,0.161,0.357
12,0.366,0.175,0.175,0.168,0.175,0.365
13,0.373,0.189,0.189,0.182,0.188,0.373
14,0.381,0.202,0.202,0.195,0.201,0.380
15,0.388,0.214,0.214,0.207,0.214,0.387
16,0.394,0.226,0.226,0.220,0.226,0.393
17,0.401,0.238,0.238,0.232,0.237,0.400
18,0.407,0.249,0.249,0.243,0.249,0.406
19,0.413,0.260,0.260,0.254,0.260,0.412
20,0.419,0.271,0.271,0.265,0.270,0.417
21,0.424,0.281,0.281,0.275,0.281,0.423
22,0.429,0.291,0.291,0.286,0.291,0.428
23,0.434,0.301,0.301,0.295,0.300,0.433
24,0.439,0.310,0.310,0.305,0.309,0.438
25,0.444,0.319,0.319,0.314,0.318,0.443
26,0.449,0.328,0.328,0.323,0.327,0.447
27,0.453,0.336,0.336,0.331,0.336,0.452
28,0.457,0.344,0.344,0.340,0.344,0.456
29,0.461,0.352,0.352,0.348,0.352,0.460
30,0.367,0.356,0.356,0.355,0.356,0.464
31,0.342,0.356,0.356,0.356,0.356,0.465
32,0.335,0.355,0.355,0.355,0.355,0.463
33,0.331,0.353,0.353,0.354,0.353,0.459
34,0.329,0.352,0.352,0.352,0.351,0.454
35,0.327,0.350,0.350,0.351,0.350,0.449
36,0.325,0.349,0.349,0.349,0.348,0.444
37,0.323,0.347,0.347,0.347,0.347,0.440
38,0.322,0.345,0.345,0.346,0.345,0.435
39,0.320,0.344,0.344,0.344,0.343,0.430
40,0.319,0.342,0.342,0.343,0.342,0.426
41,0.318,0.340,0.340,0.341,0.340,0.421
42,0.317,0.339,0.339,0.339,0.339,0.417
43,0.316,0.337,0.337,0.338,0.337,0.413
44,0.315,0.336,0.336,0.336,0.336,0.409
45,0.314,0.334,0.334,0.335,0.334,0.405
46,0.313,0.333,0.333,0.333,0.333,0.402
47,0.312,0.331,0.331,0.332,0.331,0.398
48,0.311,0.330,0.330,0.331,0.330,0.395
49,0.311,0.329,0.329,0.329,0.329,0.391
50,0.310,0.328,0.328,0.328,0.327,0.388
51,0.310,0.326,0.326,0.327,0.326,0.385
52,0.309,0.325,0.325,0.326,0.325,0.382
53,0.309,0.324,0.324,0.325,0.324,0.379
54,0.308,0.323,0.323,0.323,0.323,0.377
55,0.308,0.322,0.322,0.322,0.322,0.374
56,0.308,0.321,0.321,0.321,0.321,0.371
57,0.307,0.320,0.320,0.321,0.320,0.369
58,0.307,0.319,0.319,0.320,0.319,0.367
59,0.307,0.318,0.318,0.319,0.318,0.365
60,0.307,0.318,0.318,0.318,0.318,0.362
61,0.307,0.317,0.317,0.317,0.317,0.360
62,0.307,0.316,0.316,0.317,0.316,0.359
63,0.307,0.316,0.316,0.316,0.316,0.357
64,0.306,0.315,0.315,0.315,0.315,0.355
65,0.306,0.314,0.314,0.315,0.314,0.353
66,0.306,0.314,0.314,0.314,0.314,0.352
67,0.306,0.313,0.313,0.314,0.313,0.350
68,0.306,0.313,0.313,0.313,0.313,0.349
69,0.306,0.312,0.312,0.313,0.312,0.347
70,0.306,0.312,0.312,0.312,0.312,0.346
71,0.307,0.312,0.312,0.312,0.312,0.345
72,0.307,0.311,0.311,0.311,0.311,0.344
73,0.307,0.311,0.311,0.311,0.311,0.343
74,0.307,0.311,0.311,0.311,0.311,0.342
75,0.307,0.310,0.310,0.311,0.310,0.341
76,0.307,0.310,0.310,0.310,0.310,0.340
77,0.307,0.310,0.310,0.310,0.310,0.339
78,0.307,0.310,0.310,0.310,0.310,0.338
79,0.307,0.310,0.310,0.310,0.310,0.337
80,0.308,0.309,0.309,0.310,0.309,0.336
81,0.308,0.309,0.309,0.309,0.309,0.336
82,0.308,0.309,0.309,0.309,0.309,0.335
83,0.308,0.309,0.309,0.309,0.309,0.334
84,0.308,0.309,0.309,0.309,0.309,0.334
85,0.309,0.309,0.309,0.309,0.309,0.333
86,0.309,0.309,0.309,0.309,0.309,0.333
87,0.309,0.309,0.309,0.309,0.309,0.332
88,0.309,0.309,0.309,0.309,0.309,0.332
89,0.309,0.309,0.309,0.309,0.309,0.331
90,0.310,0.309,0.309,0.309,0.309,0.331
91,0.310,0.309,0.309,0.309,0.309,0.330
92,0.310,0.309,0.309,0.309,0.309,0.330
93,0.310,0.309,0.309,0.309,0.309,0.330
94,0.310,0.309,0.309,0.309,0.309,0.329
95,0.311,0.309,0.309,0.309,0.309,0.329
96,0.311,0.309,0.309,0.309,0.309,0.329
97,0.311,0.310,0.310,0.309,0.310,0.329
98,0.311,0.310,0.310,0.310,0.310,0.328
99,0.311,0.310,0.310,0.310,0.310,0.328
100,0.312,0.310,0.310,0.310,0.310,0.328
101,0.312,0.310,0.310,0.310,0.310,0.328
102,0.312,0.310,0.310,0.310,0.310,0.328
103,0.312,0.310,0.310,0.310,0.310,0.328
104,0.313,0.310,0.310,0.310,0.310,0.327
105,0.313,0.311,0.311,0.311,0.311,0.327
106,0.313,0.311,0.311,0.311,0.311,0.327
107,0.313,0.311,0.311,0.311,0.311,0.327
108,0.314,0.311,0.311,0.311,0.311,0.327
109,0.314,0.311,0.311,0.311,0.311,0.327
110,0.314,0.311,0.311,0.311,0.311,0.327
111,0.314,0.312,0.312,0.312,0.312,0.327
112,0.314,0.312,0.312,0.312,0.312,0.327
113,0.315,0.312,0.312,0.312,0.312,0.327
114,0.315,0.312,0.312,0.312,0.312,0.327
115,0.315,0.312,0.312,0.312,0.312,0.327
116,0.315,0.313,0.313,0.312,0.313,0.327
117,0.316,0.313,0.313,0.313,0.313,0.327
118,0.316,0.313,0.313,0.313,0.313,0.327
119,0.316,0.313,0.313,0.313,0.313,0.327
120,0.316,0.313,0.313,0.313,0.313,0.327
121,0.316,0.314,0.314,0.313,0.314,0.324
122,0.317,0.314,0.314,0.314,0.314,0.318
123,0.317,0.314,0.314,0.314,0.314,0.311
124,0.317,0.314,0.314,0.314,0.314,0.303
125,0.317,0.314,0.314,0.314,0.314,0.295
126,0.318,0.315,0.315,0.315,0.315,0.287
127,0.318,0.315,0.315,0.315,0.315,0.279
128,0.318,0.315,0.315,0.315,0.315,0.271
129,0.318,0.315,0.315,0.315,0.315,0.264
130,0.318,0.315,0.315,0.315,0.315,0.256
131,0.319,0.316,0.316,0.316,0.316,0.249
132,0.319,0.316,0.316,0.316,0.316,0.242
133,0.319,0.316,0.316,0.316,0.316,0.236
134,0.319,0.316,0.316,0.316,0.316,0.229
135,0.319,0.316,0.316,0.316,0.316,0.223
136,0.320,0.317,0.317,0.317,0.317,0.217
137,0.320,0.317,0.317,0.317,0.317,0.211
138,0.320,0.317,0.317,0.317,0.317,0.205
139,0.320,0.317,0.317,0.317,0.317,0.200
140,0.320,0.317,0.317,0.317,0.317,0.195
141,0.320,0.318,0.318,0.318,0.318,0.190
142,0.321,0.318,0.318,0.318,0.318,0.185
143,0.321,0.318,0.318,0.318,0.318,0.180
144,0.321,0.318,0.318,0.318,0.318,0.175
145,0.321,0.318,0.318,0.318,0.318,0.171
146,0.321,0.319,0.319,0.319,0.319,0.166
147,0.322,0.319,0.319,0.319,0.319,0.162
148,0.322,0.319,0.319,0.319,0.319,0.158
149,0.322,0.319,0.319,0.319,0.319,0.154
150,0.322,0.319,0.319,0.319,0.319,0.151
151,0.322,0.320,0.320,0.320,0.320,0.147
152,0.322,0.320,0.320,0.320,0.320,0.144
153,0.323,0.320,0.320,0.320,0.320,0.140
154,0.323,0.320,0.320,0.320,0.320,0.137
155,0.323,0.320,0.320,0.320,0.320,0.134
156,0.323,0.321,0.321,0.320,0.321,0.131
157,0.323,0.321,0.321,0.321,0.321,0.128
158,0.323,0.321,0.321,0.321,0.321,0.125
159,0.324,0.321,0.321,0.321,0.321,0.122
160,0.324,0.321,0.321,0.321,0.321,0.120
161,0.324,0.321,0.321,0.321,0.321,0.117
162,0.324,0.322,0.322,0.322,0.322,0.115
163,0.324,0.322,0.322,0.322,0.322,0.112
164,0.324,0.322,0.322,0.322,0.322,0.110
165,0.325,0.322,0.322,0.322,0.322,0.108
166,0.325,0.322,0.322,0.322,0.322,0.106
167,0.325,0.322,0.322,0.322,0.322,0.103
168,0.325,0.323,0.323,0.323,0.323,0.101
169,0.325,0.323,0.323,0.323,0.323,0.099
170,0.325,0.323,0.323,0.323,0.323,0.098
171,0.325,0.323,0.323,0.323,0.323,0.096
172,0.326,0.323,0.323,0.323,0.323,0.094
173,0.326,0.323,0.323,0.323,0.323,0.092
174,0.326,0.324,0.324,0.324,0.324,0.091
175,0.326,0.324,0.324,0.324,0.324,0.089
176,0.326,0.324,0.324,0.324,0.324,0.087
177,0.326,0.324,0.324,0.324,0.324,0.086
178,0.326,0.324,0.324,0.324,0.324,0.084
179,0.327,0.324,0.324,0.324,0.324,0.083
180,0.327,0.325,0.325,0.324,0.325,0.082
181,0.327,0.325,0.325,0.325,0.325,0.080
182,0.327,0.325,0.325,0.325,0.325,0.079
183,0.327,0.325,0.325,0.325,0.325,0.078
184,0.327,0.325,0.325,0.325,0.325,0.076
185,0.327,0.325,0.325,0.325,0.325,0.075
186,0.327,0.325,0.325,0.325,0.325,0.074
187,0.328,0.326,0.326,0.325,0.326,0.073
188,0.328,0.326,0.326,0.326,0.326,0.072
189,0.328,0.326,0.326,0.326,0.326,0.071
190,0.328,0.326,0.326,0.326,0.326,0.070
191,0.328,0.326,0.326,0.326,0.326,0.069
192,0.328,0.326,0.326,0.326,0.326,0.068
193,0.328,0.326,0.326,0.326,0.326,0.067
194,0.328,0.326,0.326,0.326,0.326,0.066
195,0.328,0.327,0.327,0.327,0.327,0.065
196,0.329,0.327,0.327,0.327,0.327,0.064
197,0.329,0.327,0.327,0.327,0.327,0.063
198,0.329,0.327,0.327,0.327,0.327,0.062
199,0.329,0.327,0.327,0.327,0.327,0.061
200,0.329,0.327,0.327,0.327,0.327,0.061
201,0.329,0.327,0.327,0.327,0.327,0.060
202,0.329,0.327,0.327,0.327,0.327,0.059
203,0.329,0.328,0.328,0.328,0.328,0.058
204,0.329,0.328,0.328,0.328,0.328,0.058
205,0.330,0.328,0.328,0.328,0.328,0.057
206,0.330,0.328,0.328,0.328,0.328,0.056
207,0.330,0.328,0.328,0.328,0.328,0.055
208,0.330,0.328,0.328,0.328,0.328,0.055
209,0.330,0.328,0.328,0.328,0.328,0.054
210,0.330,0.328,0.328,0.328,0.328,0.053
211,0.330,0.329,0.329,0.328,0.329,0.053
212,0.330,0.329,0.329,0.329,0.329,0.052
213,0.330,0.329,0.329,0.329,0.329,0.051
214,0.330,0.329,0.329,0.329,0.329,0.051
215,0.330,0.329,0.329,0.329,0.329,0.050
216,0.331,0.329,0.329,0.329,0.329,0.050
217,0.331,0.329,0.329,0.329,0.329,0.049
218,0.331,0.329,0.329,0.329,0.329,0.049
219,0.331,0.329,0.329,0.329,0.329,0.048
220,0.331,0.329,0.329,0.329,0.329,0.047
221,0.331,0.330,0.330,0.330,0.330,0.047
222,0.331,0.330,0.330,0.330,0.330,0.046
223,0.331,0.330,0.330,0.330,0.330,0.046
224,0.331,0.330,0.330,0.330,0.330,0.045
225,0.331,0.330,0.330,0.330,0.330,0.045
226,0.331,0.330,0.330,0.330,0.330,0.044
227,0.332,0.330,0.330,0.330,0.330,0.044
228,0.332,0.330,0.330,0.330,0.330,0.043
229,0.332,0.330,0.330,0.330,0.330,0.043
230,0.332,0.330,0.330,0.330,0.330,0.042
231,0.332,0.331,0.331,0.330,0.331,0.042
232,0.332,0.331,0.331,0.331,0.331,0.041
233,0.332,0.331,0.331,0.331,0.331,0.041
234,0.332,0.331,0.331,0.331,0.331,0.041
235,0.332,0.331,0.331,0.331,0.331,0.040
236,0.332,0.331,0.331,0.331,0.331,0.040
237,0.332,0.331,0.331,0.331,0.331,0.039
238,0.332,0.331,0.331,0.331,0.331,0.039
239,0.332,0.331,0.331,0.331,0.331,0.038
240,0.333,0.331,0.331,0.331,0.331,0.038
241,0.333,0.331,0.331,0.331,0.331,0.038
242,0.333,0.332,0.332,0.331,0.331,0.037
243,0.333,0.332,0.332,0.332,0.332,0.037
244,0.333,0.332,0.332,0.332,0.332,0.036
245,0.333,0.332,0.332,0.332,0.332,0.036
246,0.333,0.332,0.332,0.332,0.332,0.036
247,0.333,0.332,0.332,0.332,0.332,0.035
248,0.333,0.332,0.332,0.332,0.332,0.035
249,0.333,0.332,0.332,0.332,0.332,0.035
250,0.333,0.332,0.332,0.332,0.332,0.034
251,0.333,0.332,0.332,0.332,0.332,0.034
252,0.333,0.332,0.332,0.332,0.332,0.034
253,0.333,0.332,0.332,0.332,0.332,0.033
254,0.333,0.332,0.332,0.332,0.332,0.033
255,0.334,0.332,0.332,0.332,0.332,0.032
256,0.334,0.333,0.333,0.333,0.333,0.032
257,0.334,0.333,0.333,0.333,0.333,0.032
258,0.334,0.333,0.333,0.333,0.333,0.031
259,0.334,0.333,0.333,0.333,0.333,0.031
260,0.334,0.333,0.333,0.333,0.333,0.031
261,0.334,0.333,0.333,0.333,0.333,0.031
262,0.334,0.333,0.333,0.333,0.333,0.030
263,0.334,0.333,0.333,0.333,0.333,0.030
264,0.334,0.333,0.333,0.333,0.333,0.030
265,0.334,0.333,0.333,0.333,0.333,0.029
266,0.334,0.333,0.333,0.333,0.333,0.029
267,0.334,0.333,0.333,0.333,0.333,0.029
268,0.334,0.333,0.333,0.333,0.333,0.028
269,0.334,0.333,0.333,0.333,0.333,0.028
270,0.334,0.333,0.333,0.333,0.333,0.028
271,0.334,0.334,0.334,0.334,0.334,0.028
272,0.334,0.334,0.334,0.334,0.334,0.027
273,0.335,0.334,0.334,0.334,0.334,0.027
274,0.335,0.334,0.334,0.334,0.334,0.027
275,0.335,0.334,0.334,0.334,0.334,0.026
276,0.335,0.334,0.334,0.334,0.334,0.026
277,0.335,0.334,0.334,0.334,0.334,0.026
278,0.335,0.334,0.334,0.334,0.334,0.026
279,0.335,0.334,0.334,0.334,0.334,0.025
280,0.335,0.334,0.334,0.334,0.334,0.025
281,0.335,0.334,0.334,0.334,0.334,0.025
282,0.335,0.334,0.334,0.334,0.334,0.025
283,0.335,0.334,0.334,0.334,0.334,0.024
284,0.335,0.334,0.334,0.334,0.334,0.024
285,0.335,0.334,0.334,0.334,0.334,0.024
286,0.335,0.334,0.334,0.334,0.334,0.024
287,0.335,0.334,0.334,0.334,0.334,0.023
288,0.335,0.335,0.335,0.334,0.335,0.023
289,0.335,0.335,0.335,0.335,0.335,0.023
290,0.335,0.335,0.335,0.335,0.335,0.023
291,0.335,0.335,0.335,0.335,0.335,0.023
292,0.335,0.335,0.335,0.335,0.335,0.022
293,0.335,0.335,0.335,0.335,0.335,0.022
294,0.336,0.335,0.335,0.335,0.335,0.022
295,0.336,0.335,0.335,0.335,0.335,0.022
296,0.336,0.335,0.335,0.335,0.335,0.021
297,0.336,0.335,0.335,0.335,0.335,0.021
298,0.336,0.335,0.335,0.335,0.335,0.021
299,0.336,0.335,0.335,0.335,0.335,0.021
300,0.336,0.335,0.335,0.335,0.335,0.021
301,0.336,0.335,0.335,0.335,0.335,0.020
302,0.336,0.335,0.335,0.335,0.335,0.020
303,0.336,0.335,0.335,0.335,0.335,0.020
304,0.336,0.335,0.335,0.335,0.335,0.020
305,0.336,0.335,0.335,0.335,0.335,0.020
306,0.336,0.335,0.335,0.335,0.335,0.019
307,0.336,0.335,0.335,0.335,0.335,0.019
308,0.336,0.335,0.335,0.335,0.335,0.019
309,0.336,0.335,0.335,0.335,0.335,0.019
310,0.336,0.336,0.336,0.336,0.336,0.019
311,0.336,0.336,0.336,0.336,0.336,0.018
312,0.336,0.336,0.336,0.336,0.336,0.018
313,0.336,0.336,0.336,0.336,0.336,0.018
314,0.336,0.336,0.336,0.336,0.336,0.018
315,0.336,0.336,0.336,0.336,0.336,0.018
316,0.336,0.336,0.336,0.336,0.336,0.018
317,0.336,0.336,0.336,0.336,0.336,0.017
318,0.336,0.336,0.336,0.336,0.336,0.017
319,0.336,0.336,0.336,0.336,0.336,0.017
320,0.336,0.336,0.336,0.336,0.336,0.017
321,0.336,0.336,0.336,0.336,0.336,0.017
322,0.337,0.336,0.336,0.336,0.336,0.017
323,0.337,0.336,0.336,0.336,0.336,0.016
324,0.337,0.336,0.336,0.336,0.336,0.016
325,0.337,0.336,0.336,0.336,0.336,0.016
326,0.337,0.336,0.336,0.336,0.336,0.016
327,0.337,0.336,0.336,0.336,0.336,0.016
328,0.337,0.336,0.336,0.336,0.336,0.016
329,0.337,0.336,0.336,0.336,0.336,0.015
330,0.337,0.336,0.336,0.336,0.336,0.015
331,0.337,0.336,0.336,0.336,0.336,0.015
332,0.337,0.336,0.336,0.336,0.336,0.015
333,0.337,0.336,0.336,0.336,0.336,0.015
334,0.337,0.336,0.336,0.336,0.336,0.015
335,0.337,0.336,0.336,0.336,0.336,0.015
336,0.337,0.336,0.336,0.336,0.336,0.014
337,0.337,0.337,0.337,0.336,0.337,0.014
338,0.337,0.337,0.337,0.337,0.337,0.014
339,0.337,0.337,0.337,0.337,0.337,0.014
340,0.337,0.337,0.337,0.337,0.337,0.014
341,0.337,0.337,0.337,0.337,0.337,0.014
342,0.337,0.337,0.337,0.337,0.337,0.014
343,0.337,0.337,0.337,0.337,0.337,0.013
344,0.337,0.337,0.337,0.337,0.337,0.013
345,0.337,0.337,0.337,0.337,0.337,0.013
346,0.337,0.337,0.337,0.337,0.337,0.013
347,0.337,0.337,0.337,0.337,0.337,0.013
348,0.337,0.337,0.337,0.337,0.337,0.013
349,0.337,0.337,0.337,0.337,0.337,0.013
350,0.337,0.337,0.337,0.337,0.337,0.012
351,0.337,0.337,0.337,0.337,0.337,0.012
352,0.337,0.337,0.337,0.337,0.337,0.012
353,0.337,0.337,0.337,0.337,0.337,0.012
354,0.337,0.337,0.337,0.337,0.337,0.012
355,0.337,0.337,0.337,0.337,0.337,0.012
356,0.337,0.337,0.337,0.337,0.337,0.012
357,0.337,0.337,0.337,0.337,0.337,0.012
358,0.337,0.337,0.337,0.337,0.337,0.012
359,0.337,0.337,0.337,0.337,0.337,0.011
360,0.338,0.337,0.337,0.337,0.337,0.011
